netuid,name,alpha_price,change_1h,change_1d,change_7d,liquidity_tao,flow_24h,flow_7d,emission,drawdown,score
88,Investing,0.003741991,0.18234730320894843,6.621125109164396,5.911950219565454,12907.07568035,3771.786862966,0.0,0.0,7.683195872699393,0.0
105,Beam,0.011489583,-0.20733135338882666,-3.8606657032860094,4.639028695995559,8738.071813333,3039.551176615,0.0,0.0,17.570155042586045,0.0
121,sundae_bar,0.006382596,-0.008256146716897042,-0.5714659587991177,1.4500341658548401,14783.135074687,406.452316293,0.0,0.0,4.642976987032648,0.0
23,Trishool,0.003958231,0.374111380867346,-0.36566536396125815,9.03848161618766,13569.418298137,539.932194711,0.0,0.0,5.478196465509594,0.0
20,GroundLayer,0.004164162,0.663984170938394,0.9527101984453306,1.8440789657113816,17240.638367333,385.429971722,0.0,0.0,8.986913489901667,0.0
45,Talisman AI,0.003985627,-0.005218479942094944,0.42008549355825237,-3.543848941242639,16001.146044281,483.099427731,0.0,0.0,4.017994894073454,0.0
37,Aurelius,0.003965621,-0.14242270181606573,-1.3143664279503628,-1.1095442400030922,17317.838171912,106.971234381,0.0,0.0,3.84569128849874,0.0
65,TAO Private Network,0.003916422,0.019766843189173287,-0.6019835330766081,-3.7678351865120434,15123.428949159,290.612752821,0.0,0.0,4.563181576056525,0.0
42,Unknown,0.003747975,-0.010858018206255392,1.080064413350101,0.7829283121516573,18041.139337297,561.587954287,0.0,0.0,3.4853088719319034,0.0
107,Minos,0.03398428,4.8286451043183565,6.80611521570751,43.24648988083418,8351.144684902,3109.676617217,0.0,0.0,14.348133359969998,0.0
60,Bitsec.ai,0.004200374,0.1825306286776535,1.2107096455820159,-3.6210036106782093,13826.766431961,1127.027982604,0.0,0.0,10.427107472063428,0.0
97,distil,0.041589656,1.5617662184114716,-9.738619413962017,-12.026689787402985,9317.023564026,5305.644197783,0.0,0.0,15.494577222269918,0.0
77,Liquidity,0.004186777,-0.005039422133524147,0.33307947176984326,-0.21426356611318026,19434.392739213,177.377896531,0.0,0.0,1.3062415132790044,0.0
58,Handshake,0.004815014,-0.26498573783086193,-4.196747275136591,1.0163494958323271,16510.925259809,740.312295763,0.0,0.0,5.165378109121144,0.0
59,Babelbit,0.004024137,0.23186547468534144,-5.350167760175275,1.808429572419153,14003.411946505,2529.967200811,0.0,0.0,9.45360372206327,0.0
16,BitAds,0.004637235,-0.005757409915941815,0.14129637643790605,-1.1503031848154779,16962.343479796,46.680708096,0.0,0.0,2.1252045376708546,0.0
83,CliqueAI,0.007876702,-2.695571758337898,20.253854085655984,70.78178825292532,12925.549021462,4018.248441236,0.0,0.0,6.735779170915348,0.0
27,Nodexo,0.004616971,-0.005999244571658269,-2.7086855959904854,5.933287995345055,17346.486420453,1113.238480749,0.0,0.0,8.068359375000004,0.0
22,Desearch,0.004857451,-0.3414174373401241,-0.15611363181355326,-1.8848202014880935,18881.845124833,652.530410136,0.0,0.0,5.691416955187246,0.0
7,Allways,0.004427723,-1.5622304352697827,-2.867326192275056,1.5961552581823522,14832.44731844,320.154186311,0.0,0.0,8.514826979190076,0.0
61,RedTeam,0.004613668,1.839894135396766,0.7752652530757344,15.627763085874454,16659.549075294,1544.002113179,0.0,0.0,11.788288366437078,0.0
25,Mainframe,0.004600902,-0.006172321657937758,-3.0543278177846105,-0.9743504975709035,21695.026984035,279.870557668,0.0,0.0,6.000833568285181,0.0
32,ItsAI,0.004101422,-3.6975762274654147,-5.689699298137741,11.238397247017675,16171.207355555,1491.075324599,0.0,0.0,9.429473223495373,0.0
30,Pending,0.00459657,-0.00778780959806201,5.021896269237632,0.4812270305577197,18921.882545634,1764.084988004,0.0,0.0,10.881964094788069,0.0
41,Almanac,0.005429554,-0.003222996948834831,0.3028545248985805,-2.351648189589327,25311.423031676,284.371717088,0.0,0.0,6.174332957836291,0.0
6,Numinous,0.004694795,0.09062914664056024,-3.4682821374186434,-4.512067903324976,20897.35441208,1121.605103945,0.0,0.0,5.417036075675301,0.0
48,Quantum Compute,0.005403852,0.10051077851210705,-2.713545475461862,-4.115822174337966,23507.552369031,1419.326843079,0.0,0.0,8.32588208547063,0.0
124,Swarm,0.007770213,-0.006974869237287754,-1.2466851187536427,-8.949396235037703,18474.973373841,377.071298912,0.0,0.0,11.483425968362177,0.0
21,AdTAO,0.005223292,0.6310328524711697,2.5104933436668917,-0.5613978576300821,18139.562430998,5081.013508884,0.0,0.0,5.725138740792727,0.0
55,NIOME,0.00567601,-0.5200953084511325,-7.442530408483311,30.867558621115798,17769.304406114,6294.10928108,0.0,0.0,11.52064512246966,0.0
71,Leadpoet,0.005960822,-0.37091673193477404,-0.40485857017473365,-11.905484664357411,11845.300371908,2337.674006969,0.0,0.0,15.860408633283171,0.0
15,ORO,0.041525563,-0.07563347820585868,-5.430820822017639,26.150894474422703,10622.86598782,4391.902734607,0.0,0.0,17.64471684684033,0.0
