netuid,name,alpha_price,change_1h,change_1d,change_7d,liquidity_tao,flow_24h,flow_7d,emission,drawdown,score,ml_prob_up,ml_return_pred
7,Allways,0.004549851,-1.6846827282421617,-0.8194110834340975,4.3758783345744146,15053.305277744,806.2044953,0.0,0.0,8.515490728903899,0.0,,
61,RedTeam,0.004721861,-4.374266888301319,6.743846110720273,19.769833245655107,16875.1573812,5236.998512646,0.0,0.0,11.832644936541474,0.0,,
30,Pending,0.004617403,0.20836398786232568,-0.4484066128225146,1.408392860084225,18982.65989065,229.063455984,0.0,0.0,10.881617106726244,0.0,,
6,Numinous,0.004715115,-1.159228285170158,1.3937374389878334,-2.44366957618136,20942.564668426,1440.632771268,0.0,0.0,4.830626912601088,0.0,,
41,Almanac,0.00549307,-0.006826317547549853,1.2402649869806641,-2.9812443393200545,25460.246764994,493.951917832,0.0,0.0,6.174315514493151,0.0,,
48,Quantum Compute,0.005362233,-0.12110860379586626,-0.8090866915329935,-5.007257009750594,23416.606174882,319.15634716,0.0,0.0,7.518869320835318,0.0,,
21,AdTAO,0.005029633,-1.0488991821281666,-7.021618588899272,-3.1123433671707184,17804.199902436,3156.892632578,0.0,0.0,7.826078919079797,0.0,,
124,Swarm,0.007810604,0.44352481927029114,0.9598327272764876,-10.91862709417705,18550.764459124,141.409821977,0.0,0.0,11.954742406514276,0.0,,
55,NIOME,0.005650121,1.0663072002924958,-1.8216302299496694,27.001318088106906,17755.624990907,4234.422866812,0.0,0.0,11.519693216078112,0.0,,
71,Leadpoet,0.005974301,0.8405430801537277,-2.223589342744534,-10.317245392018787,11858.635372285,1653.143177189,0.0,0.0,13.474723881804337,0.0,,
33,ReadyAI,0.006274186,0.022589704801818784,1.1735721952176021,-6.526294398880137,32796.610075041,1148.667467894,0.0,0.0,12.037497508449828,0.0,,
35,OxMarkets,0.005265865,-0.018265266734601306,-1.2344880154187683,-12.24857054489269,20644.547403833,671.145803547,0.0,0.0,14.79296834392598,0.0,,
39,deprecated,0.006596867,-1.982979135637966,3.7794771435133767,-3.699519509743741,34039.269126551,4771.438679762,0.0,0.0,10.383690185680633,0.0,,
29,Coldint,0.005878575,-0.002058279591256292,0.1329808978995593,-57.19350401051373,24179.605254867,112.821925587,0.0,0.0,57.534763961495806,0.0,,
15,ORO,0.043511094,5.008365222798932,1.7999276726307072,36.952569396632555,11077.578484889,3044.535339906,0.0,0.0,17.827341226032992,0.0,,
12,Compute Horde,0.006642007,-0.001881925863563085,-0.6749074604251534,-1.9867364967393137,29846.743731712,83.436145445,0.0,0.0,2.405700764803036,0.0,,
53,EfficientFrontier,0.005737941,-0.2639954709863102,-3.740487187522438,3.9049692546416828,29221.783549697,1659.950788317,0.0,0.0,6.798863772582994,0.0,,
10,Swap,0.005969167,0.03457288493714874,-0.08471387432819771,1.9089684212251543,31800.658091334,156.571961699,0.0,0.0,2.653912243990554,0.0,,
74,Gittensor,0.007017408,-0.7069109744957387,-8.71550395946408,-0.03304971360713691,16970.504495879,953.140626751,0.0,0.0,10.555610364218516,0.0,,
18,Zeus,0.006085504,-0.5020917355232724,1.0064957482857704,-12.005936540785088,23693.885270065,464.677696531,0.0,0.0,12.908533248297383,0.0,,
43,Graphite,0.006253726,0.024247426110127458,0.21738221177306163,-0.6940762389766627,30829.773534957,166.56900683,0.0,0.0,3.9115222779589156,0.0,,
2,DSperse,0.00639491,-0.009928786366134552,-2.490246600223902,-4.224170415380901,22073.654693049,1853.171654867,0.0,0.0,8.286294702525076,0.0,,
52,Dojo,0.00715962,-0.001159265963965265,-0.08720505496262909,-1.4311144519843548,37827.750632398,34.967383209,0.0,0.0,2.2578083902938904,0.0,,
54,Yanez MIID,0.007150268,-0.3132139014216894,-5.167337566027253,2.0436507823243617,20707.763003514,1488.385755901,0.0,0.0,14.000363444467945,0.0,,
81,deprecated,0.009107319,2.744874133194525,4.19859760716594,4.085798803380961,42164.266779237,8885.281993693,0.0,0.0,7.833566107479056,0.0,,
46,RESI,0.00853257,-0.8063652669696451,-5.748368932708035,23.030624965935253,23741.186376516,3733.92982976,0.0,0.0,11.210076171947678,0.0,,
13,Data Universe,0.007958316,-0.018518076481917237,0.8938091085819214,0.7376288964503105,47142.324753065,667.676005876,0.0,0.0,3.271014966198435,0.0,,
63,Enigma,0.008894315,-0.31931655587753943,0.09406978832665838,4.759424039092467,30240.399822376,673.850855308,0.0,0.0,7.311665075733881,0.0,,
14,TAOHash,0.009439562,0.10200485835386279,2.1163955913094914,2.5956602195779426,48167.653487565,675.750628534,0.0,0.0,0.8244021033179182,0.0,,
